processed_index,source_frame,ground_coverage_fraction
356,356,0.9555
357,357,0.9564
358,358,0.9564
359,359,0.9563
360,360,0.9563
361,361,0.956
362,362,0.9559
363,363,0.9556
364,364,0.9557
365,365,0.9555
366,366,0.9555
367,367,0.9552
368,368,0.9552
369,369,0.9544
370,370,0.9544
371,371,0.955
372,372,0.9551
373,373,0.9558
374,374,0.9558
375,375,0.9563
376,376,0.9563
377,377,0.9567
378,378,0.9567
379,379,0.9572
380,380,0.9572
381,381,0.9574
382,382,0.9574
383,383,0.9579
384,384,0.9579
385,385,0.9589
386,386,0.9589
387,387,0.9595
388,388,0.9595
389,389,0.9597
390,390,0.9597
391,391,0.9594
392,392,0.9594
393,393,0.959
394,394,0.959
395,395,0.959
396,396,0.959
397,397,0.9591
398,398,0.9591
399,399,0.959
400,400,0.959
401,401,0.9588
402,402,0.9588
403,403,0.959
404,404,0.959
405,405,0.9595
406,406,0.9595
407,407,0.9599
408,408,0.9599
409,409,0.9603
410,410,0.9603
411,411,0.9609
412,412,0.961
413,413,0.9614
414,414,0.9614
415,415,0.9616
416,416,0.9616
417,417,0.9611
418,418,0.9611
419,419,0.961
420,420,0.9611
421,421,0.9605
422,422,0.9605
423,423,0.9594
424,424,0.9593
425,425,0.9592
426,426,0.9592
427,427,0.9594
428,428,0.9594
429,429,0.9595
430,430,0.9595
431,431,0.9594
432,432,0.9594
433,433,0.9594
434,434,0.9594
435,435,0.96
436,436,0.9601
437,437,0.9606
438,438,0.9606
439,439,0.9609
440,440,0.9611
441,441,0.9614
442,442,0.9614
443,443,0.9617
444,444,0.9617
445,445,0.9619
446,446,0.9619
447,447,0.9621
448,448,0.9621
449,449,0.9622
450,450,0.9622
451,451,0.9623
452,452,0.9623
453,453,0.9626
454,454,0.9626
455,455,0.9623
456,456,0.9623
457,457,0.9623
458,458,0.9623
459,459,0.9629
460,460,0.9629
461,461,0.9629
462,462,0.9629
463,463,0.9628
464,464,0.9628
465,465,0.9626
466,466,0.9626
467,467,0.9626
468,468,0.9626
469,469,0.9627
470,470,0.9628
471,471,0.9629
472,472,0.9629
473,473,0.9629
474,474,0.9629
475,475,0.9631
476,476,0.9631
477,477,0.9633
478,478,0.9633
479,479,0.9632
480,480,0.9631
481,481,0.9632
482,482,0.9632
483,483,0.9626
484,484,0.9626
485,485,0.9623
486,486,0.9623
487,487,0.962
488,488,0.962
489,489,0.9616
490,490,0.9616
491,491,0.9617
492,492,0.9617
493,493,0.9617
494,494,0.9617
495,495,0.9615
496,496,0.9615
497,497,0.9612
498,498,0.9612
499,499,0.9615
500,500,0.9615
501,501,0.9617
502,502,0.9617
503,503,0.9617
504,504,0.9618
505,505,0.9621
506,506,0.9621
507,507,0.9622
508,508,0.9622
509,509,0.9623
510,510,0.9623
511,511,0.9623
512,512,0.9623
513,513,0.9624
514,514,0.9624
515,515,0.9626
516,516,0.9627
517,517,0.963
518,518,0.963
519,519,0.9627
520,520,0.9627
521,521,0.9625
522,522,0.9625
523,523,0.9622
524,524,0.9622
525,525,0.962
526,526,0.962
527,527,0.9619
528,528,0.9619
529,529,0.9616
530,530,0.9616
531,531,0.9618
532,532,0.9618
533,533,0.9622
534,534,0.9622
535,535,0.9627
536,536,0.9627
537,537,0.963
538,538,0.963
539,539,0.9629
540,540,0.9629
541,541,0.963
542,542,0.963
543,543,0.9631
544,544,0.9631
545,545,0.9629
546,546,0.9629
547,547,0.9627
548,548,0.9627
549,549,0.963
550,550,0.963
551,551,0.9627
552,552,0.9632
